oxygen fugacity,carbonate solubility,C speciation composition,water solubility,water speciation,water speciation composition,sulphide solubility,sulphate solubility,sulphide saturation,ideal gas,carbonylsulphide,insolubles,Saturation calculation,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kress91A,Dixon95,andesite,AllisonDataComp,none,MORB,ONeill21dil,ONeill22,no,no,COS,yes,fO2_melt,2023-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Saturation pressure (bar),T ('C),fO2 (DNNO),fO2 (DFMQ),SiO2 (wt%),TiO2 (wt%),Al2O3 (wt%),FeOT (wt%),MnO (wt%),MgO (wt%),CaO (wt%),Na2O (wt%),K2O (wt%),P2O5 (wt%),H2OT (wt%),CO2 (ppm),ST (ppm),Fe3/FeT,CT input (ppm),HT input (ppm),H2OT (wt%),OH (wt%),H2Omol (wt%),H2 (ppm),CH4 (ppm),CO2 (ppm),CO (ppm),S2- (ppm),S6+ (ppm),H2S (ppm),C reduced calc. (ppm),H reduced calc. (ppm),H_H2O/HT,H_H2/HT,H_CH4/HT,H_H2S/HT,C_CO2/CT,C_CO/CT,C_CH4/CT,S2-/ST,S6+/ST,H2S/ST,SCSS (ppm),sulphide saturated,SCAS (ppm),anhydrite saturated,S melt (ppm),graphite saturated,fO2,fH2,fH2O,fS2,fSO2,fH2S,fCO2,fCO,fCH4,fOCS,pO2,pH2,pH2O,pS2,pSO2,pH2S,pCO2,pCO,pCH4,pOCS,xgO2,xgH2,xgH2O,xgS2,xgSO2,xgH2S,xgCO2,xgCO,xgCH4,xgOCS,Pvsat (H2O CO2 only),xg_H2O (H2O CO2 only),xg_CO2 (H2O CO2 only),f_H2O (H2O CO2 only),f_CO2 (H2O CO2 only),p_H2O (H2O CO2 only),p_CO2 (H2O CO2 only),Pvsat diff
Hawaii high Si,2600.325757293926,1200.0,-0.6249614102658843,0.0,51.28782609,2.503478261,13.70347826,9.172343459392437,0.017826087,6.699130435,11.03173913,2.274782609,0.43130434799999995,0.210869565,3.0,1000.0,1000.0,0.14896838707507343,272.9214478856598,3357.2023313905074,2.9712884260260201874341177219971,0.0,2.9742110424193222064205570768099,3.3249327329185385652826313661177,9.2015949393746625764942104446804e-06,982.65266035885119437756799451303,11.040884281121290366748159773786,530.13686874376581461287689034745,11.779599547401139540374586930619,486.88878445102065523910016100657,4.7344610518266495602324430529778,3.324935045505386134854499400102,0.99042947534200680048201943188511,0.00099038794946308660773221055787293,6.8884345335591668690863511249013e-10,0.0085801360213299075409657786668347,0.98265266035885113731714156972232,0.01734731439942401776984618840134,2.5241724844913012418126233569748e-08,0.5301368687437658035771864300591,0.011779599547401139295162412460836,0.45808353179656423156268227373545,1044.0579907950828023949983443885,no,7692.2320815041112531657526502015,no,1000.0,no,7.821388098863502e-09,10.900397108532090515157500841775,720.07441154452894981214426055449,1.1649298843673017508071729481511,9.8349053654550761393589074043917,47.594211576806419879304591966538,3344.5232908896165571089134731527,125.73476236610556308302035165357,0.0011755827185558793972908722939455,27.735075570840402121463099985461,4.852058322204452055239199031052e-09,8.0323990254947128057813135814547,673.35678502017307643658045211324,0.74877310264580900083846496284917,5.5642496352500124433722462641817,20.989685227635363083594646322895,1809.8906443947859566552862671324,69.622319401061256593741707079307,0.00062054939058828282163787441003348,12.133581823269143923164428513147,1.8659424914722340345914460827713e-12,0.0030889972162002378523608044167333,0.25895093456325774478793214356524,0.00028795357679532916801601631657807,0.0021398279118076902346574504887152,0.0080719445126285416332551409087992,0.69602458050420573666054929051134,0.026774460548171828935715637744713,2.3864294265733393340395007903838e-07,0.0046661776084147879028159865640172,2535.8948119115316,0.27143656869886802439810938874724,0.72856605307776394478698224691015,733.65448881644,3361.7139659064305259832930461371,688.33458632652746339039960982224,1847.5668741347631712413908152812,-64.43094538239438
Hawaii high Si,2591.3069401615303,1200.0,1.3746467733566448,2.0,51.28782609,2.503478261,13.70347826,9.172343459392437,0.017826087,6.699130435,11.03173913,2.274782609,0.43130434799999995,0.210869565,3.0,1000.0,1000.0,0.31522849618363047,272.9214478856598,3357.2023313905074,2.9994238212766511676775511229212,0.0,3.0024209515893449169586819987508,0.33916457437796560086623578624833,9.7264412271804252875320504097353e-10,998.23787570733710323323817124972,1.1215229012873402100805012337612,5.5030564219610473707294685682607,989.63676404226735368836912918347,5.1657977747365892849316900500952,0.48092151330806772292462072730576,0.33916457462241496213277868247848,0.99980794042555046123866328644855,0.00010102595581050018004984157386479,7.2813413412975706029774799357203e-14,9.1033617904957217406419411975065e-05,0.99823787570733704526781339904454,0.0017621242899948069296123744162498,2.6681478025742271741350777592891e-12,0.0055030564219610472561740945906485,0.98963676404226733308741560189761,0.0048601795004711544279430277470262,1269.7719261697150426587745139309,no,7707.4879884384770090961620569341,no,1000.0,no,7.809269339905881e-07,1.111043268374373308518816399154,733.3804244760682325970431128732,0.012622278025254029885552654619991,102.21525788333662101336356884874,0.50496556938191383100893253447811,3390.9058239930968468801151249184,12.757735270779522026022317996615,1.2401820357166947225459744178304e-07,0.29293182143706848494591068009071,4.8523342823860997331617025973076e-07,0.81956784822544420288493736380274,686.12018394890170211215883598735,0.0081254302125081792535201927731189,57.955648344150777261412781597149,0.22322825657728962910360291268173,1838.9709377465991304702964991912,7.0781033865140428934118956528274,6.5607498978446713075266549427672e-08,0.12853667862474337695447459305125,1.8725432356861697275670315155956e-10,0.00031627586663830571523002341925693,0.26477765845297048815168487533191,3.1356494618895578921914136634536e-06,0.02236541238937062610653408290254,8.6145046392448821436986480726806e-05,0.70966928280289560904844799890148,0.0027314801179333954593986720162313,2.5318304814310048465156371225471e-11,4.9603031054565456013503930796135e-05,2535.8948119115316,0.27143656869886802439810938874724,0.72856605307776394478698224691015,733.65448881644,3361.7139659064305259832930461371,688.33458632652746339039960982224,1847.5668741347631712413908152812,-55.41212824999866
